,Zipcode,Zillow_value_per_Zip_x,Unnamed: 0,Zillow_value_per_Zip_y,State,City,Street,Bedroom,Bathroom,Area,PPSq,LotArea,Latitude,Longitude,ListedPrice,PriceTier
163,85254,834171.9132,160,834171.9132,AZ,Scottsdale,E Campo Bello Dr,5,3.0,2426,185.4905194,0.165197429,33.49029,-112.28379,450000,between 401 and 450
164,85254,834171.9132,164,834171.9132,AZ,Scottsdale,N 64th St,4,3.5,3022,248.1469226,0.262213039,33.51188,-112.37109,749900,between 701 and 750
165,85255,1186977.339,166,1186977.339,AZ,Scottsdale,N 98th Way,4,2.0,1200,233.3333333,0.217860422,33.6347,-112.33314,280000,between 251 and 300
166,85255,1186977.339,168,1186977.339,AZ,Scottsdale,E Juan Tabo Rd,3,2.0,1346,291.9687964,0.103305785,33.714703,-112.40496,392990,between 351 and 400
167,85255,1186977.339,170,1186977.339,AZ,Scottsdale,E San Fernando Dr,3,3.0,1663,399.8797354,0.07,35.1844,-111.68537,665000,between 651 and 700
168,85255,1186977.339,171,1186977.339,AZ,Scottsdale,N 83rd Pl,4,3.0,2955,287.6446701,1.141,33.482315,-112.47477,849990,between 801 and 850
169,85255,1186977.339,165,1186977.339,AZ,Scottsdale,E Happy Valley Rd UNIT 401,5,2.5,3334,254.9490102,0.243089991,33.33344,-112.00019,850000,between 801 and 850
170,85255,1186977.339,167,1186977.339,AZ,Scottsdale,N 73rd St,4,4.5,3457,267.5701475,0.263980716,33.33524,-111.61785,924990,between 901 and million
171,85255,1186977.339,169,1186977.339,AZ,Scottsdale,E Rita Dr,4,3.0,3580,259.4972067,0.38,34.250565,-111.33664,929000,between 901 and million
172,85257,543899.0834,173,543899.0834,AZ,Scottsdale,N 87th Way,3,2.0,1560,279.7884615,0.103305785,33.7136,-112.40345,436470,between 401 and 450
173,85257,543899.0834,172,543899.0834,AZ,Scottsdale,E Moreland St,5,2.5,2424,204.2079208,0.148966942,33.04272,-112.05287,495000,between 451 and 500
174,85257,543899.0834,174,543899.0834,AZ,Scottsdale,E Oak St,2,2.0,2137,256.2938699,0.22187787,33.65299,-112.38994,547700,between 501 and 550
175,85258,807810.917,177,807810.917,AZ,Scottsdale,E Del Tornasol Dr,3,2.0,1350,278.7333333,0.107323232,33.41149,-112.24976,376290,between 351 and 400
176,85258,807810.917,176,807810.917,AZ,Scottsdale,N Willowrain Ct,3,3.0,1980,359.0858586,0.086088154,33.644096,-111.97004,710990,between 701 and 750
177,85258,807810.917,178,807810.917,AZ,Scottsdale,E Loma Ln,4,2.0,2184,503.6630037,0.384389348,33.53485,-112.06393,1100000,between a million and 1.25
178,85258,807810.917,175,807810.917,AZ,Scottsdale,E Mustang Trl,4,4.5,2964,421.7273954,0.443365473,33.548336,-112.23328,1250000,between a million and 1.25
179,85259,1075685.799,179,1075685.799,AZ,Scottsdale,N 114th Way,2,2.0,1344,326.6369048,0.152915519,33.860703,-112.11204,439000,between 401 and 450
180,85260,676715.3485,181,676715.3485,AZ,Scottsdale,E Charter Oak Dr,3,2.0,1008,193.452381,0.135146924,32.70818,-114.67869,195000,less than 250
181,85260,676715.3485,182,676715.3485,AZ,Scottsdale,E Karen Dr,3,2.0,1824,191.8859649,1.0638,33.326183,-112.48503,350000,between 301 and 350
182,85260,676715.3485,180,676715.3485,AZ,Scottsdale,E Garden Dr,3,2.0,1397,307.7308518,0.143503214,33.346054,-111.42779,429900,between 401 and 450
183,85260,676715.3485,184,676715.3485,AZ,Scottsdale,E Redfield St,5,3.0,2530,214.1067194,0.186524334,33.17347,-111.53075,541690,between 501 and 550
184,85260,676715.3485,183,676715.3485,AZ,Scottsdale,E Cactus Rd,3,2.0,1815,357.799449,0.125344353,33.301098,-111.69798,649406,between 601 and 650
185,85262,1423146.354,186,1423146.354,AZ,Scottsdale,N 92nd Way,3,2.0,1543,210.6286455,0.2,32.185616,-110.78412,325000,between 301 and 350
186,85262,1423146.354,187,1423146.354,AZ,Scottsdale,E Horned Owl Trl,4,3.0,2699,220.4520193,0.185629017,33.204685,-111.57622,595000,between 551 and 600
187,85262,1423146.354,185,1423146.354,AZ,Scottsdale,E Graythorn Dr,4,3.5,2475,323.2282828,0.088636364,33.644024,-111.97072,799990,between 751 and 800
188,85266,1231823.766,189,1231823.766,AZ,Scottsdale,N Pima Rd UNIT 19,2,1.0,952,288.8655462,0.144605142,33.3988,-111.98287,275000,between 251 and 300
189,85266,1231823.766,190,1231823.766,AZ,Scottsdale,N Pima Rd UNIT 5,3,2.0,2147,183.9776432,0.15312213,33.41096,-112.584816,395000,between 351 and 400
190,85266,1231823.766,191,1231823.766,AZ,Scottsdale,E Boulders Pkwy UNIT 47,3,2.0,1166,394.5111492,0.210055096,34.94812,-111.64424,460000,between 451 and 500
191,85266,1231823.766,188,1231823.766,AZ,Scottsdale,N 72nd Pl,4,2.0,2422,474.8142031,0.720385675,33.744865,-111.94593,1150000,between a million and 1.25
192,85268,637926.2412,194,637926.2412,AZ,Fountain Hills,E Shadow Canyon Dr,2,2.0,1791,206.588498,0.174471993,33.20482,-111.85343,370000,between 351 and 400
193,85268,637926.2412,193,637926.2412,AZ,Fountain Hills,E Crystal Ridge Dr,4,2.0,2312,298.0103806,0.223002755,33.32754,-111.90966,689000,between 651 and 700
194,85268,637926.2412,192,637926.2412,AZ,Fountain Hills,E Tumbleweed Dr,3,4.0,3600,609.7222222,0.57,34.774876,-112.571976,2195000,between 2 and 2.5
195,85281,417568.72,195,417568.72,AZ,Tempe,E Weber Dr #1018,3,2.0,1668,248.8009592,0.134090909,33.61481,-112.3738,415000,between 401 and 450
196,85282,462766.0308,196,462766.0308,AZ,Tempe,E Fairmont Dr,4,5.0,4887,838.9605075,2.44,32.468678,-110.973366,4100000,between 4 and 4.5
197,85284,691799.8341,198,691799.8341,AZ,Tempe,W Palomino Dr,4,3.0,2208,185.2309783,0.12,31.949856,-110.97859,408990,between 401 and 450
198,85284,691799.8341,197,691799.8341,AZ,Tempe,E Jeanine Dr,3,3.0,2141,293.7879496,0.15,32.14853,-110.779144,629000,between 601 and 650
199,85284,691799.8341,199,691799.8341,AZ,Tempe,W Myrna Ln,3,3.0,3083,430.1005514,0.26,32.2404,-110.94056,1326000,between 1.25 and 1.5
200,85295,547964.7732,203,547964.7732,AZ,Gilbert,E Jones St,2,2.0,1066,280.4878049,0.14,32.309563,-111.024826,299000,between 251 and 300
201,85295,547964.7732,202,547964.7732,AZ,Gilbert,E John St,5,4.5,3131,167.6748643,0.235169881,33.582794,-112.41495,524990,between 501 and 550
202,85295,547964.7732,201,547964.7732,AZ,Gilbert,S Sailors Ct,3,2.0,2450,277.1428571,0.165082645,33.212807,-111.84494,679000,between 651 and 700
203,85295,547964.7732,200,547964.7732,AZ,Gilbert,S Rochester Dr,4,3.0,2494,295.5092221,0.32,32.22705,-110.8629,737000,between 701 and 750
204,85296,542716.3452,204,542716.3452,AZ,Gilbert,E Temple Ct,4,3.0,2376,319.4444444,1.02,32.26519,-110.74705,759000,between 751 and 800
205,85297,584581.5385,205,584581.5385,AZ,Gilbert,E Longhorn Ct,4,2.0,1922,221.1238293,1.68,32.936195,-109.8325,425000,between 401 and 450
206,85298,663457.4044,206,663457.4044,AZ,Gilbert,E Packard Dr,4,3.0,2391,171.0539523,0.11,32.113514,-110.84715,408990,between 401 and 450
207,85298,663457.4044,207,663457.4044,AZ,Gilbert,S Joslyn Ln,3,2.0,1353,317.7383592,0.22,34.505756,-114.3257,429900,between 401 and 450
208,85301,314712.1327,208,314712.1327,AZ,Glendale,N 64th Ave,3,2.0,1940,340.1546392,0.137741047,33.310135,-111.61454,659900,between 651 and 700
209,85302,379910.2828,209,379910.2828,AZ,Glendale,N 48th Ave,3,3.0,1980,469.1919192,0.178420569,33.80519,-111.8814,929000,between 901 and million
210,85303,374054.5689,211,374054.5689,AZ,Glendale,W Northview Ave,4,3.0,2220,173.8783784,0.12,32.44519,-111.2174,386010,between 351 and 400
211,85303,374054.5689,210,374054.5689,AZ,Glendale,W Belmont Ave,5,4.0,2953,217.0640027,0.152089073,33.515106,-112.476715,640990,between 601 and 650
212,85304,403592.5207,212,403592.5207,AZ,Glendale,W Christy Dr,4,3.0,2754,253.8126362,3.35,32.264977,-111.05839,699000,between 651 and 700
213,85305,461581.5696,214,461581.5696,AZ,Glendale,W Missouri Ave,3,2.5,2402,270.3605329,0.120293848,33.30279,-111.69819,649406,between 601 and 650
214,85305,461581.5696,215,461581.5696,AZ,Glendale,W Marshall Ave,3,3.0,2543,283.1301612,0.16,32.386555,-110.94934,720000,between 701 and 750
215,85305,461581.5696,213,461581.5696,AZ,Glendale,W Georgia Ave,4,3.5,4018,223.7431558,0.947199265,33.16933,-111.59153,899000,between 851 and 900
216,85306,404295.3617,217,404295.3617,AZ,Glendale,W Acapulco Ln,4,2.0,1626,255.2275523,0.11707989,33.684124,-112.13076,415000,between 401 and 450
217,85306,404295.3617,216,404295.3617,AZ,Glendale,N 51st Dr,3,2.0,1509,304.8369781,0.174173554,33.34648,-111.5883,459999,between 451 and 500
218,85306,404295.3617,218,404295.3617,AZ,Glendale,W Dailey St,4,2.0,2130,321.5962441,0.158402204,33.260075,-111.86379,685000,between 651 and 700
219,85307,402579.2986,219,402579.2986,AZ,Glendale,W Northview Ave,4,2.5,2448,177.6960784,0.137741047,33.376064,-112.21879,435000,between 401 and 450
220,85308,477696.8411,220,477696.8411,AZ,Glendale,W Taro Ln,3,2.5,1558,234.6116816,0.213911846,33.4117,-112.57735,365525,between 351 and 400
221,85310,535391.5313,222,535391.5313,AZ,Glendale,W Paraiso Dr,3,2.0,1232,254.6590909,0.12,31.949917,-110.97925,313740,between 301 and 350
222,85310,535391.5313,223,535391.5313,AZ,Glendale,W Jj Ranch Rd,4,3.0,3006,272.1224218,10.01,34.61015,-113.86324,818000,between 801 and 850
223,85310,535391.5313,221,535391.5313,AZ,Glendale,W Cielo Grande,3,3.0,3954,214.9721801,0.5,32.381237,-110.96986,850000,between 801 and 850
224,85326,370650.3376,227,370650.3376,AZ,Buckeye,S Sexson Dr,3,2.0,1274,278.6499215,0.121854913,33.15517,-111.564865,355000,between 351 and 400
225,85326,370650.3376,225,370650.3376,AZ,Buckeye,S Watermann Ln,4,2.0,2073,224.3125904,0.229568411,33.635323,-112.16909,465000,between 451 and 500
226,85326,370650.3376,228,370650.3376,AZ,Buckeye,S Rainbow Valley Rd,4,2.0,2372,217.1163575,0.212970615,33.438293,-112.4337,515000,between 501 and 550
227,85326,370650.3376,224,370650.3376,AZ,Buckeye,S 237th Dr,3,2.0,1959,280.754977,0.157300275,33.4893,-112.10964,549999,between 501 and 550
228,85326,370650.3376,226,370650.3376,AZ,Buckeye,W Wedgewood Ave,4,2.0,2243,289.7904592,0.172727273,33.330666,-111.79656,650000,between 601 and 650
229,85331,818810.7258,232,818810.7258,AZ,Cave Creek,E Cave Creek Rd #1,3,2.0,1793,209.1466815,4.59e-06,31.831587,-111.007355,375000,between 351 and 400
230,85331,818810.7258,229,818810.7258,AZ,Cave Creek,E Victoria Dr,4,2.5,1933,310.3983445,0.134343434,33.218533,-111.59865,600000,between 551 and 600
231,85331,818810.7258,230,818810.7258,AZ,Cave Creek,N Canyon Crossings Dr,5,4.0,2793,252.1611171,0.172176309,33.30911,-111.59543,704286,between 701 and 750
232,85331,818810.7258,231,818810.7258,AZ,Cave Creek,N 63rd St,3,2.0,2456,325.6921824,0.4,34.469967,-114.31498,799900,between 751 and 800
233,85338,441307.4416,234,441307.4416,AZ,Goodyear,W Hadley St,3,2.0,1597,219.0983093,0.14,32.12211,-110.85337,349900,between 301 and 350
234,85338,441307.4416,233,441307.4416,AZ,Goodyear,W Elizabeth Ave,4,3.0,2556,586.8544601,0.20479798,33.51394,-112.008224,1500000,between 1.25 and 1.5
235,85339,433924.124,237,433924.124,AZ,Laveen,W Alta Mesa Ave,4,3.0,2690,147.8513011,0.11,32.053276,-110.72601,397720,between 351 and 400
236,85339,433924.124,235,433924.124,AZ,Laveen,W Odeum Ln,3,2.0,1907,262.1394861,0.191000918,33.605396,-112.22048,499900,between 451 and 500
237,85339,433924.124,238,433924.124,AZ,Laveen,S 53rd Ln,3,2.0,1683,314.3196673,0.252226814,33.333595,-111.7654,529000,between 501 and 550
238,85339,433924.124,239,433924.124,AZ,Laveen,S 49th Dr,4,3.0,2686,316.4553239,0.349632691,33.707447,-112.15351,849999,between 801 and 850
239,85339,433924.124,236,433924.124,AZ,Laveen,W Valencia Dr,3,3.0,2086,572.8667306,0.129889807,33.79296,-111.91579,1195000,between a million and 1.25
240,85339,433924.124,240,433924.124,AZ,Laveen,W Harwell Rd,4,3.5,3377,384.9570625,0.176767677,33.588863,-112.430115,1300000,between 1.25 and 1.5
241,85340,522848.2534,243,522848.2534,AZ,Litchfield Park,W Earll Dr,3,2.0,1691,189.2371378,0.132300275,33.071293,-112.05554,320000,between 301 and 350
242,85340,522848.2534,242,522848.2534,AZ,Litchfield Park,N 145th Dr,3,2.0,1176,279.7619048,0.23,34.47282,-114.272125,329000,between 301 and 350
243,85340,522848.2534,245,522848.2534,AZ,Litchfield Park,N Almanza Ln,4,2.0,1797,233.9955481,0.126997245,33.557064,-112.420364,420490,between 401 and 450
244,85340,522848.2534,246,522848.2534,AZ,Litchfield Park,W Missouri Ave,3,2.0,1883,265.5331917,0.45,34.425026,-110.58024,499999,between 451 and 500
245,85340,522848.2534,241,522848.2534,AZ,Litchfield Park,W Badgett Ln,3,2.5,2128,317.1992481,0.166230487,33.65933,-112.17584,675000,between 651 and 700
246,85340,522848.2534,244,522848.2534,AZ,Litchfield Park,W Missouri Ave,3,3.0,2300,301.7391304,0.263774105,33.684986,-112.33527,694000,between 651 and 700
247,85345,366937.4215,249,366937.4215,AZ,Peoria,W Manzanita Dr,4,3.0,2384,162.9697987,0.11,32.05332,-110.726135,388520,between 351 and 400
248,85345,366937.4215,251,366937.4215,AZ,Peoria,N 94th Ln,3,2.0,1884,230.8917197,0.15,32.352673,-111.103004,435000,between 401 and 450
249,85345,366937.4215,250,366937.4215,AZ,Peoria,W Butler Dr,2,2.0,1716,276.8065268,0.163888889,33.341274,-111.98034,475000,between 451 and 500
250,85345,366937.4215,247,366937.4215,AZ,Peoria,W Puget Ave,3,2.0,1712,283.1483645,0.114600551,33.313232,-111.94003,484750,between 451 and 500
251,85345,366937.4215,248,366937.4215,AZ,Peoria,W Brown St,2,3.0,2264,220.8038869,0.27,32.386147,-111.15327,499900,between 451 and 500
252,85351,286671.3888,254,286671.3888,AZ,Sun City,W El Dorado Dr,3,2.0,1631,159.411404,0.174747475,31.52825,-110.28656,260000,between 251 and 300
253,85351,286671.3888,256,286671.3888,AZ,Sun City,N 109th Ave,2,1.75,1320,261.3636364,0.210284665,33.68597,-112.3519,345000,between 301 and 350
254,85351,286671.3888,255,286671.3888,AZ,Sun City,W Desert Rock Dr,3,2.0,1287,278.9432789,0.129843893,33.613213,-112.187164,359000,between 351 and 400
255,85351,286671.3888,252,286671.3888,AZ,Sun City,W Pineaire Dr,3,2.0,1820,244.5054945,0.174150597,33.62341,-112.17629,445000,between 401 and 450
256,85351,286671.3888,253,286671.3888,AZ,Sun City,W Arrowhead Dr,4,3.0,2553,268.3117901,0.161799816,33.316326,-111.860634,685000,between 651 and 700
257,85353,392092.5871,257,392092.5871,AZ,Tolleson,S 101st Ln,4,2.5,2582,231.9907049,0.233241506,33.5233,-112.35218,599000,between 551 and 600
258,85355,519204.309,259,519204.309,AZ,Waddell,N Erin Ct,3,2.0,1336,303.1437126,0.108172635,33.43991,-111.71786,405000,between 401 and 450
259,85355,519204.309,260,519204.309,AZ,Waddell,W El Caminito Dr,4,2.0,1800,225.0,0.118801653,33.540485,-112.328026,405000,between 401 and 450
260,85355,519204.309,258,519204.309,AZ,Waddell,N 182nd Dr,4,3.0,2173,258.1638288,0.152089073,33.515106,-112.47689,560990,between 551 and 600
261,85356,248938.6815,261,248938.6815,AZ,Wellton,Sonora St,3,2.0,1879,399.0952634,0.13989899,33.646973,-111.90558,749900,between 701 and 750
262,85364,249347.5463,264,249347.5463,AZ,Yuma,S Mojave Ln,3,2.0,1258,245.6279809,0.156152433,33.154575,-111.44382,309000,between 301 and 350
263,85364,249347.5463,262,249347.5463,AZ,Yuma,W 27th Pl,4,2.0,1819,236.3930731,0.161593205,33.51581,-112.24314,429999,between 401 and 450
264,85364,249347.5463,265,249347.5463,AZ,Yuma,W 5th St,3,2.0,1943,285.6407617,0.251193756,33.553116,-112.07101,555000,between 501 and 550
265,85364,249347.5463,266,249347.5463,AZ,Yuma,W 10th Ln,3,2.5,2962,280.1823093,0.220959596,33.47751,-112.40888,829900,between 801 and 850
266,85364,249347.5463,263,249347.5463,AZ,Yuma,W Del Valle Dr,6,4.5,5642,451.9673875,0.311065197,33.533497,-112.07042,2550000,between 2.51 and 3
267,85365,314377.3427,267,314377.3427,AZ,Yuma,E 27th St,4,2.0,1248,288.4615385,0.158907254,33.477013,-112.132416,360000,between 351 and 400
268,85367,326992.6633,268,326992.6633,AZ,Yuma,E 54th Dr,3,1.0,900,248.8888889,0.12,32.20102,-110.91127,224000,less than 250
269,85367,326992.6633,269,326992.6633,AZ,Yuma,E 51st St,3,2.0,1600,224.76875,0.11,32.053257,-110.72456,359630,between 351 and 400
270,85373,373633.9099,270,373633.9099,AZ,Sun City,W Ponderosa Cir,3,2.0,1600,210.3375,0.11,32.053356,-110.72548,336540,between 301 and 350
271,85373,373633.9099,271,373633.9099,AZ,Pine Knoll Shores,W Jessie Ln,2,2.0,1240,282.016129,0.14033517,33.399353,-111.73119,349700,between 301 and 350
272,85373,373633.9099,272,373633.9099,AZ,Sun City,W Marco Polo Rd,6,5.5,6589,682.9564426,0.808631772,33.597435,-111.86178,4500000,between 4 and 4.5
273,85374,401557.5823,275,401557.5823,AZ,Surprise,W Rimrock St,2,1.0,670,373.1343284,0.20087236,33.495827,-112.05465,250000,less than 250
274,85374,401557.5823,274,401557.5823,AZ,Surprise,W Pinehurst Ln,3,2.0,1800,297.2222222,0.132231405,33.76205,-112.35596,535000,between 501 and 550
275,85374,401557.5823,273,401557.5823,AZ,Surprise,W Davis Rd,5,3.0,2941,224.3794628,0.281404959,33.340088,-111.774216,659900,between 651 and 700
276,85375,390619.987,276,390619.987,AZ,Sun City West,W Prospect Dr,2,1.0,852,293.42723,0.20087236,33.49568,-112.05464,250000,less than 250
277,85375,390619.987,282,390619.987,AZ,Sun City West,W Beardsley Rd,3,2.0,1230,226.8292683,0.18,32.197136,-110.89895,279000,between 251 and 300
278,85375,390619.987,281,390619.987,AZ,Sun City West,N Palm Desert Dr,4,2.0,1624,237.0689655,0.183654729,32.653137,-114.16967,385000,between 351 and 400
279,85375,390619.987,279,390619.987,AZ,Sun City West,N Cheyenne Dr,4,2.0,2072,234.0733591,0.161157025,33.57659,-112.24554,485000,between 451 and 500
280,85375,390619.987,280,390619.987,AZ,Sun City West,N Arrellaga Dr,5,3.5,3458,274.7252747,0.347405877,33.249546,-111.863045,950000,between 901 and million
281,85375,390619.987,278,390619.987,AZ,Sun City West,N Pedregosa Dr,4,3.5,3433,348.0920478,0.407024793,33.48892,-111.68001,1195000,between a million and 1.25
282,85375,390619.987,277,390619.987,AZ,Sun City West,W Gable Hill Dr,4,4.5,3502,569.6744717,0.100275482,33.83253,-111.939926,1995000,between 1.51 and 2
283,85378,349518.0565,283,349518.0565,AZ,Surprise,N Nash St,3,2.0,1593,237.915882,0.14,32.24897,-110.91638,379000,between 351 and 400
284,85379,435507.2273,286,435507.2273,AZ,Surprise,W Gelding Dr,2,2.0,1476,182.2493225,0.16,31.842342,-110.99371,269000,between 251 and 300
285,85379,435507.2273,287,435507.2273,AZ,Surprise,W Cortez St,2,2.0,1214,242.7100494,1.08,31.988941,-110.71631,294650,between 251 and 300
286,85379,435507.2273,285,435507.2273,AZ,Surprise,W Acapulco Ln,3,2.0,1216,341.2820724,0.138888889,33.5534,-112.24971,414999,between 401 and 450
287,85379,435507.2273,284,435507.2273,AZ,Surprise,W Riviera Dr,2,2.0,1665,252.1921922,0.195890725,33.375645,-111.88148,419900,between 401 and 450
288,85381,455521.2806,288,455521.2806,AZ,Peoria,N 75th Dr,3,2.0,1460,236.5958904,0.11,32.052856,-110.72562,345430,between 301 and 350
289,85382,456265.212,291,456265.212,AZ,Peoria,W Yukon Dr,3,2.0,2152,206.7843866,0.232323232,33.609947,-112.25787,445000,between 401 and 450
290,85382,456265.212,290,456265.212,AZ,Peoria,N 89th Dr,3,2.0,1580,332.2151899,0.18,34.625706,-112.344055,524900,between 501 and 550
291,85382,456265.212,289,456265.212,AZ,Peoria,W Paradise Ln,3,2.0,1752,342.4086758,0.21,34.532276,-114.359856,599900,between 551 and 600
292,85383,646945.8074,296,646945.8074,AZ,Peoria,W Red Range Way,4,2.0,1311,49.58047292,2.35,35.050457,-114.22941,65000,less than 250
293,85383,646945.8074,297,646945.8074,AZ,Peoria,N 82nd Ave,2,1.0,822,302.3114355,0.17,32.19166,-110.959854,248500,less than 250
294,85383,646945.8074,295,646945.8074,AZ,Peoria,W Horsetail Trl,3,2.0,1460,239.1369863,0.11,32.053288,-110.724815,349140,between 301 and 350
295,85383,646945.8074,293,646945.8074,AZ,Peoria,W Foothill Dr,4,2.0,1784,210.2017937,0.191023875,33.487907,-112.713806,375000,between 351 and 400
296,85383,646945.8074,294,646945.8074,AZ,Peoria,N 137th Ave,4,2.0,2568,272.1962617,1.22e-05,32.17472,-110.77079,699000,between 651 and 700
297,85383,646945.8074,292,646945.8074,AZ,Peoria,N 70th Ave,3,2.0,2102,373.1588963,0.137741047,33.781273,-112.34385,784380,between 751 and 800
298,85387,469591.8166,301,469591.8166,AZ,Surprise,W Gray Fox Trl,3,2.0,1664,151.6826923,0.38,34.09769,-109.284294,252400,between 251 and 300
299,85387,469591.8166,300,469591.8166,AZ,Surprise,W Smoketree Dr,3,2.0,1432,192.0391061,0.17,32.2959,-110.98946,275000,between 251 and 300
300,85387,469591.8166,298,469591.8166,AZ,Surprise,W Buckskin Trl,4,2.0,2007,201.793722,0.23,32.20015,-110.80372,405000,between 401 and 450
301,85387,469591.8166,299,469591.8166,AZ,Surprise,W Buckskin Trl,4,2.5,3057,310.7621851,0.125642792,33.683594,-112.00233,950000,between 901 and million
302,85387,469591.8166,302,469591.8166,AZ,Surprise,N 170th Ave,4,4.5,4397,635.6606777,1.7491,33.752995,-111.86385,2795000,between 2.51 and 3
303,85388,447675.1939,304,447675.1939,AZ,Surprise,N San Clemente St,3,2.0,1366,270.7906296,0.56,31.989813,-110.72024,369900,between 351 and 400
304,85388,447675.1939,303,447675.1939,AZ,Surprise,W Christy Dr,3,2.0,1719,218.1500873,0.166781451,32.71851,-114.66653,375000,between 351 and 400
305,85388,447675.1939,305,447675.1939,AZ,Surprise,W Larkspur Dr,4,2.0,1749,313.8936535,0.19,34.5411,-112.50213,549000,between 501 and 550
306,85392,416205.0632,306,416205.0632,AZ,Avondale,W Roma Ave,4,3.0,1886,302.2269353,0.657001837,34.947697,-111.62675,570000,between 551 and 600
307,85392,416205.0632,307,416205.0632,AZ,Avondale,N 104th Ave,3,2.0,1924,330.04158,0.156588613,33.31845,-111.91335,635000,between 601 and 650
308,85392,416205.0632,308,416205.0632,AZ,Avondale,W Dana Ln,4,2.5,3163,300.3477711,0.596808999,33.453083,-111.80871,950000,between 901 and million
309,85395,550447.2434,310,550447.2434,AZ,Goodyear,W Mackenzie Dr,3,2.0,1674,226.9414576,0.186730946,33.583103,-112.29204,379900,between 351 and 400
310,85395,550447.2434,309,550447.2434,AZ,Goodyear,W Hillside St,4,3.0,2910,181.7766323,0.13,32.051437,-110.6987,528970,between 501 and 550
311,85395,550447.2434,311,550447.2434,AZ,Goodyear,N 162nd Ln,3,2.0,1612,330.3349876,0.143549128,33.654545,-112.01705,532500,between 501 and 550
312,85396,463928.8109,315,463928.8109,AZ,Buckeye,W Whitton Ave,3,2.0,1399,346.6761973,0.110606061,33.328182,-111.95805,485000,between 451 and 500
313,85396,463928.8109,314,463928.8109,AZ,Buckeye,W Clarendon Ave,3,3.0,1852,291.0367171,0.124081726,33.78479,-112.3452,539000,between 501 and 550
314,85396,463928.8109,312,463928.8109,AZ,Buckeye,W Potter Dr,3,3.0,2639,217.8855627,0.149311295,33.338425,-111.944275,575000,between 551 and 600
315,85396,463928.8109,313,463928.8109,AZ,Buckeye,W Meadowbrook Ave,3,2.0,2035,436.1179361,0.113406795,33.573914,-111.906815,887500,between 851 and 900
316,85501,211981.3277,316,211981.3277,AZ,Globe,S 1st St,2,2.0,1000,380.0,0.077892562,33.301376,-111.93227,380000,between 351 and 400
317,85501,211981.3277,317,211981.3277,AZ,Globe,S 4th St,4,2.0,2166,242.3822715,0.183838384,33.558388,-112.270485,525000,between 501 and 550
318,85501,211981.3277,318,211981.3277,AZ,Globe,E Halby Ct,5,3.5,4184,191.1806883,0.402938476,33.171852,-111.56589,799900,between 751 and 800
319,85541,436102.7373,320,436102.7373,AZ,Payson,W Country Ln,3,2.0,1581,243.5167615,0.191896235,33.49676,-112.2361,385000,between 351 and 400
320,85541,436102.7373,321,436102.7373,AZ,Payson,E Scarlet Bugler Cir,3,2.0,2375,213.2336842,0.13,32.051346,-110.698395,506430,between 501 and 550
321,85541,436102.7373,319,436102.7373,AZ,Payson,N Elk Horn Cir,5,4.5,4695,233.2268371,0.224977043,33.297913,-111.85678,1095000,between a million and 1.25
322,85543,277725.6567,322,277725.6567,AZ,Pima,W Tinsley Pl,3,2.0,1578,212.2230672,0.15,32.370472,-111.12723,334888,between 301 and 350
323,85544,465418.0578,323,465418.0578,AZ,Pine,N Az Highway 87,3,2.0,1610,260.8695652,0.26,34.614204,-112.332794,420000,between 401 and 450
324,85546,242621.8361,324,242621.8361,AZ,Safford,W Yuma Cir,2,4.0,2142,200.280112,2.33,34.907787,-112.46267,429000,between 401 and 450
325,85610,179571.3855,325,179571.3855,AZ,Elfrida,N Central Hwy,4,2.0,1663,226.3980758,0.19302112,33.241695,-111.54476,376500,between 351 and 400
